"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170801","화","여","10대","서울특별시","노원구","중계동","치킨","5"
"20170801","화","남","30대","서울특별시","노원구","중계동","치킨","5"
"20170801","화","여","20대","서울특별시","노원구","공릉동","치킨","7"
"20170801","화","남","40대","서울특별시","노원구","상계동","치킨","54"
"20170801","화","여","20대","서울특별시","노원구","상계동","치킨","29"
"20170801","화","남","10대","서울특별시","노원구","공릉동","치킨","5"
"20170801","화","여","20대","서울특별시","노원구","중계동","치킨","5"
"20170801","화","여","20대","서울특별시","노원구","하계동","치킨","5"
"20170801","화","남","30대","서울특별시","노원구","월계동","치킨","5"
"20170801","화","여","30대","서울특별시","노원구","공릉동","치킨","5"
"20170801","화","여","30대","서울특별시","노원구","상계동","치킨","63"
