"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170406","목","남","30대","서울특별시","강동구","강일동","치킨","7"
"20170406","목","여","30대","서울특별시","강동구","고덕동","치킨","5"
"20170406","목","남","60대이상","서울특별시","강동구","암사동","치킨","5"
"20170406","목","여","30대","서울특별시","강동구","성내동","치킨","48"
"20170406","목","여","30대","서울특별시","강동구","천호동","치킨","8"
"20170406","목","남","30대","서울특별시","강동구","길동","치킨","5"
"20170406","목","여","40대","서울특별시","강동구","성내동","치킨","77"
"20170406","목","여","20대","서울특별시","강동구","암사동","치킨","5"
"20170406","목","여","40대","서울특별시","강동구","천호동","치킨","5"
"20170406","목","여","40대","서울특별시","강동구","고덕동","치킨","5"
"20170406","목","남","40대","서울특별시","강동구","강일동","치킨","5"
"20170406","목","여","40대","서울특별시","강동구","길동","치킨","5"
"20170406","목","여","50대","서울특별시","강동구","암사동","치킨","5"
"20170406","목","남","30대","서울특별시","강동구","성내동","치킨","44"
"20170406","목","남","30대","서울특별시","강동구","천호동","치킨","5"
"20170406","목","여","30대","서울특별시","강동구","강일동","치킨","6"
"20170406","목","남","30대","서울특별시","강동구","명일동","치킨","5"
"20170406","목","여","40대","서울특별시","강동구","상일동","치킨","5"
"20170406","목","여","40대","서울특별시","강동구","명일동","치킨","6"
"20170406","목","남","30대","서울특별시","강동구","상일동","치킨","5"
"20170406","목","남","40대","서울특별시","강북구","미아동","치킨","53"
"20170406","목","남","40대","서울특별시","강북구","번동","치킨","5"
"20170406","목","여","30대","서울특별시","강북구","미아동","치킨","68"
"20170406","목","여","30대","서울특별시","강북구","번동","치킨","5"
"20170406","목","여","40대","서울특별시","강북구","수유동","치킨","5"
"20170406","목","여","40대","서울특별시","강북구","미아동","치킨","105"
"20170406","목","여","40대","서울특별시","강북구","번동","치킨","5"
"20170406","목","남","30대","서울특별시","강북구","미아동","치킨","70"
"20170406","목","남","30대","서울특별시","강북구","번동","치킨","5"
"20170406","목","남","20대","서울특별시","강북구","번동","치킨","5"
"20170406","목","남","20대","서울특별시","강북구","미아동","치킨","46"
"20170406","목","남","50대","서울특별시","강북구","미아동","치킨","31"
"20170406","목","남","60대이상","서울특별시","강북구","미아동","치킨","14"
"20170406","목","여","10대","서울특별시","강북구","미아동","치킨","13"
"20170406","목","여","10대","서울특별시","강북구","번동","치킨","5"
"20170406","목","남","20대","서울특별시","강북구","수유동","치킨","5"
"20170406","목","남","10대","서울특별시","강북구","번동","치킨","5"
"20170406","목","남","10대","서울특별시","강북구","미아동","치킨","24"
"20170406","목","여","20대","서울특별시","강북구","수유동","치킨","5"
"20170406","목","여","20대","서울특별시","강북구","미아동","치킨","44"
"20170406","목","여","20대","서울특별시","강북구","번동","치킨","5"
"20170406","목","여","50대","서울특별시","강북구","미아동","치킨","34"
"20170406","목","여","50대","서울특별시","강북구","번동","치킨","5"
"20170406","목","여","60대이상","서울특별시","강북구","미아동","치킨","19"
"20170406","목","여","30대","서울특별시","강서구","가양동","치킨","10"
"20170406","목","남","40대","서울특별시","강서구","내발산동","치킨","51"
"20170406","목","여","10대","서울특별시","강서구","등촌동","치킨","5"
"20170406","목","여","30대","서울특별시","강서구","외발산동","치킨","5"
"20170406","목","여","30대","서울특별시","강서구","오곡동","치킨","5"
"20170406","목","여","30대","서울특별시","강서구","내발산동","치킨","96"
"20170406","목","남","40대","서울특별시","강서구","가양동","치킨","5"
"20170406","목","남","40대","서울특별시","강서구","외발산동","치킨","5"
"20170406","목","남","20대","서울특별시","강서구","등촌동","치킨","9"
"20170406","목","여","40대","서울특별시","강서구","방화동","치킨","11"
"20170406","목","여","40대","서울특별시","강서구","화곡동","치킨","100"
"20170406","목","남","30대","서울특별시","강서구","염창동","치킨","5"
"20170406","목","남","30대","서울특별시","강서구","방화동","치킨","9"
"20170406","목","남","30대","서울특별시","강서구","화곡동","치킨","65"
"20170406","목","여","40대","서울특별시","강서구","염창동","치킨","5"
"20170406","목","여","20대","서울특별시","강서구","등촌동","치킨","5"
"20170406","목","남","40대","서울특별시","강서구","화곡동","치킨","45"
"20170406","목","여","30대","서울특별시","강서구","염창동","치킨","5"
"20170406","목","남","40대","서울특별시","강서구","방화동","치킨","5"
"20170406","목","여","60대이상","서울특별시","강서구","등촌동","치킨","5"
"20170406","목","여","50대","서울특별시","강서구","등촌동","치킨","5"
"20170406","목","여","30대","서울특별시","강서구","화곡동","치킨","74"
"20170406","목","남","40대","서울특별시","강서구","염창동","치킨","5"
"20170406","목","여","30대","서울특별시","강서구","방화동","치킨","7"
"20170406","목","남","30대","서울특별시","강서구","가양동","치킨","6"
"20170406","목","여","40대","서울특별시","강서구","내발산동","치킨","97"
"20170406","목","남","30대","서울특별시","강서구","오곡동","치킨","5"
"20170406","목","남","30대","서울특별시","강서구","외발산동","치킨","5"
